"voltage turned up to max"
No.,"Voltmeter 1","Voltmeter 2","Voltmeter 3","Ammeter 1","Ammeter 2","Ammeter 3","UM1","UM2","UM3",Torque Nm,Speed rpm
1,"2","1","2","0.014","0.05","0.009","0","-47.8","0.795","0.071","0000",
2,"23","1","22","0.145","0.48","0.140","6","-47.8","0.892","0.071","0000",
3,"44","1","44","0.286","0.96","0.289","24","-47.8","0.898","0.071","0000",
4,"66","1","65","0.426","1.41","0.425","52","-47.8","0.903","0.082","0000",
5,"88","1","86","0.568","1.89","0.563","92","-47.8","0.905","0.111","0000",
6,"110","1","108","0.710","2.36","0.715","144","-47.8","0.905","0.111","0000",
7,"130","1","128","0.461","1.47","0.445","108","-47.8","0.908","0.121","1996",
8,"130","1","128","0.461","1.47","0.445","108","-47.8","0.908","0.121","1996",
9,"151","1","149","0.371","1.14","0.354","100","-47.8","0.909","0.121","2407",
10,"173","1","172","0.323","0.95","0.305","100","-47.8","0.910","0.141","2603",
11,"195","1","193","0.293","0.82","0.276","101","-47.8","0.910","0.134","2710",
12,"216","1","214","0.278","0.73","0.263","107","-47.8","0.910","0.131","2779",
13,"237","1","236","0.270","0.66","0.258","115","-47.8","0.910","0.131","2827",
14,"257","1","257","0.272","0.60","0.260","125","-47.8","0.910","0.131","2857",
15,"279","1","277","0.282","0.55","0.260","138","-47.8","0.912","0.131","2886",
16,"299","1","297","0.287","0.51","0.268","151","-47.8","0.912","0.131","2905",
17,"321","1","318","0.301","0.48","0.275","169","-47.8","0.913","0.131","2919",
18,"321","1","318","0.301","0.48","0.275","169","-47.8","0.913","0.131","2919",
19,"342","1","339","0.315","0.45","0.291","189","-47.8","0.913","0.131","2934",
20,"342","1","339","0.315","0.45","0.291","189","-47.8","0.913","0.131","2934",
21,"363","1","360","0.330","0.42","0.309","211","-47.8","0.912","0.131","2944",
22,"383","1","381","0.350","0.40","0.328","237","-47.8","0.912","0.131","2952",
23,"405","1","403","0.375","0.39","0.350","268","-47.8","0.912","0.131","2959",
24,"415","1","412","0.394","0.37","0.360","285","-47.8","0.913","0.131","2964",
