"reduce r to zero"
No.,"Voltmeter 1","Voltmeter 2","Voltmeter 3","Ammeter 1","Ammeter 2","Ammeter 3","UM1","UM2","UM3",Torque Nm,Speed rpm
1,"415","1","412","0.394","0.38","0.360","285","-47.8","0.913","0.131","2965",
2,"414","1","412","0.395","0.37","0.360","285","-47.8","0.913","0.131","2965",
3,"414","1","412","0.396","0.36","0.359","285","-47.8","0.914","0.131","2965",
4,"414","1","412","0.395","0.37","0.360","285","-47.8","0.913","0.131","2965",
5,"414","1","412","0.393","0.37","0.360","285","-47.8","0.913","0.131","2965",
6,"414","1","412","0.393","0.37","0.360","285","-47.8","0.913","0.131","2965",
7,"414","1","412","0.393","0.35","0.360","285","-47.8","0.913","0.131","2965",
8,"414","1","411","0.393","0.38","0.359","284","-47.8","0.913","0.131","2965",
9,"414","1","412","0.393","0.36","0.360","284","-47.8","0.913","0.131","2965",
10,"414","1","412","0.393","0.36","0.360","284","-47.8","0.913","0.131","2965",
11,"414","1","412","0.393","0.36","0.360","284","-47.8","0.913","0.131","2965",
12,"414","1","411","0.392","0.36","0.359","284","-47.8","0.913","0.131","2965",
13,"414","1","412","0.391","0.36","0.360","284","-47.8","0.913","0.131","2965",
14,"414","1","412","0.391","0.36","0.360","284","-47.8","0.913","0.131","2965",
15,"414","1","412","0.391","0.36","0.361","284","-47.8","0.913","0.131","2965",
16,"414","1","412","0.391","0.36","0.361","284","-47.8","0.913","0.131","2965",
17,"415","1","412","0.391","0.37","0.360","284","-47.8","0.913","0.131","2965",
18,"415","1","412","0.390","0.38","0.360","284","-47.8","0.913","0.133","2965",
19,"415","1","412","0.393","0.36","0.361","285","-47.8","0.913","0.134","2965",
20,"415","1","412","0.393","0.36","0.361","285","-47.8","0.913","0.134","2965",
21,"415","1","412","0.392","0.36","0.361","285","-47.8","0.913","0.135","2965",
22,"414","1","412","0.393","0.36","0.361","285","-47.8","0.913","0.135","2965",
23,"414","1","412","0.392","0.38","0.360","284","-47.8","0.913","0.140","2964",
24,"415","1","413","0.392","0.38","0.361","285","-47.8","0.913","0.139","2965",
25,"415","1","413","0.391","0.37","0.360","284","-47.8","0.913","0.140","2965",
26,"415","1","412","0.392","0.36","0.360","285","-47.8","0.913","0.141","2965",
27,"415","1","412","0.394","0.36","0.361","286","-47.8","0.913","0.141","2965",
28,"415","1","412","0.394","0.36","0.361","286","-47.8","0.913","0.141","2965",
29,"415","1","412","0.393","0.38","0.360","285","-47.8","0.913","0.141","2965",
30,"415","1","412","0.393","0.38","0.360","285","-47.8","0.913","0.141","2965",
31,"415","1","412","0.394","0.36","0.359","285","-47.8","0.913","0.141","2965",
32,"414","1","412","0.394","0.37","0.359","284","-47.8","0.913","0.141","2964",
33,"414","1","412","0.394","0.37","0.359","284","-47.8","0.913","0.141","2964",
34,"415","1","412","0.396","0.36","0.359","285","-47.8","0.914","0.141","2965",
35,"414","1","411","0.396","0.38","0.358","285","-47.8","0.914","0.141","2965",
36,"414","1","411","0.396","0.38","0.358","285","-47.8","0.914","0.141","2965",
