reduce torque,,,,,,,,,,,
No.,Voltmeter 1,Voltmeter 2,Voltmeter 3,Ammeter 1,Ammeter 2,Ammeter 3,UM1,UM2,UM3,Torque Nm,Speed rpm
1,415,1,411,0.393,0.37,0.358,284,-47.8,0.914,0.141,2965
2,414,1,412,0.398,0.41,0.364,288,-47.8,0.913,0.172,2964
3,414,1,412,0.406,0.5,0.372,294,-47.8,0.913,0.207,2942
4,414,1,411,0.422,0.62,0.39,307,-47.8,0.913,0.291,2920
5,414,1,412,0.441,0.75,0.407,321,-47.8,0.913,0.365,2900
6,414,1,412,0.46,0.88,0.428,336,-47.8,0.912,0.441,2880
7,414,1,412,0.482,0.99,0.452,353,-47.8,0.912,0.516,2857
8,414,1,411,0.506,1.1,0.475,370,-47.8,0.912,0.591,2835
9,414,1,411,0.534,1.22,0.501,391,-47.8,0.912,0.664,2813
10,414,1,412,0.563,1.36,0.531,413,-47.8,0.911,0.744,2790
11,414,1,411,0.592,1.48,0.56,435,-47.8,0.911,0.819,2766
12,414,1,411,0.647,1.72,0.619,477,-47.8,0.911,0.961,2718
13,414,1,411,0.672,1.8,0.644,496,-47.8,0.911,1.018,2699
14,413,1,411,0.706,1.93,0.68,522,-47.8,0.91,1.092,2667
15,413,1,411,0.733,2.04,0.704,542,-47.8,0.91,1.155,2655
16,414,1,410,0.773,2.18,0.747,572,-47.8,0.91,1.242,2611
17,413,1,411,0.806,2.32,0.779,597,-47.8,0.91,1.312,2578
18,413,1,410,0.858,2.48,0.826,634,-47.8,0.91,1.399,2534
19,413,1,410,0.883,2.59,0.857,654,-47.8,0.91,1.459,2509
20,413,1,410,0.938,2.77,0.915,697,-47.8,0.91,1.575,2468
21,413,1,410,0.979,2.93,0.957,728,-47.8,0.91,1.658,2422
22,413,1,410,1.011,3.1,0.991,753,-47.8,0.91,1.754,2384
23,413,1,411,1.068,3.29,1.055,799,-47.8,0.909,1.85,2279
24,414,1,410,1.072,3.38,1.058,802,-47.8,0.909,1.887,2286
25,413,1,411,1.101,3.6,1.093,826,-47.8,0.909,2.005,2202
26,413,1,411,1.104,3.62,1.093,827,-47.8,0.909,2.009,2179
